state,registrations_0_to_5,registrations_5_to_17,registrations_18_and_above,total_enrolments,biometric_updates_5_to_17,biometric_updates_18_and_above,total_bio_updates,age_5_17_update_rate,child_compliance_rate,adult_update_rate,compliance_gap,low_compliance,children_not_updated,exclusion_risk_percentage
meghalaya,21072,53089,35078,109239,35911.0,50663.0,86574.0,67.64301456045509,67.64301456045509,144.42955698728548,1911.0177679488831,True,17178.0,32.356985439544914
unknown,0,1,213,214,0.0,0.0,0.0,0.0,0.0,0.0,1978.6607825093383,True,1.0,100.0
andaman and nicobar islands,459,32,0,491,11353.0,8635.0,19988.0,35478.125,35478.125,0.0,-33499.46421749066,False,0.0,0.0
andhra pradesh,109393,13414,1465,124272,2181566.0,1429209.0,3610775.0,16263.351722081406,16263.351722081406,97556.92832764504,-14284.690939572069,False,0.0,0.0
arunachal pradesh,1914,2176,150,4240,41143.0,28916.0,70059.0,1890.7628676470588,1890.7628676470588,19277.333333333336,87.89791486227955,False,0.0,0.0
assam,137970,64834,22555,225359,574106.0,371044.0,945150.0,885.5014344325507,885.5014344325507,1645.0631788960318,1093.1593480767876,True,0.0,0.0
bihar,254911,327043,11799,593753,2160544.0,2618424.0,4778968.0,660.6299477438746,660.6299477438746,22191.914569031276,1318.0308347654636,True,0.0,0.0
chandigarh,2377,210,33,2620,48687.0,24865.0,73552.0,23184.285714285717,23184.285714285717,75348.48484848485,-21205.62493177638,False,0.0,0.0
chhattisgarh,79653,18158,1962,99773,839394.0,1719717.0,2559111.0,4622.7227668245405,4622.7227668245405,87651.22324159023,-2644.061984315202,False,0.0,0.0
dadra and nagar haveli and daman and diu,1471,248,50,1769,16207.0,22635.0,38842.0,6535.08064516129,6535.08064516129,45270.0,-4556.419862651952,False,0.0,0.0
delhi,67844,21971,3023,92838,545395.0,736549.0,1281944.0,2482.340357744299,2482.340357744299,24364.836255375452,-503.6795752349608,False,0.0,0.0
goa,1871,253,156,2280,33143.0,33411.0,66554.0,13100.0,13100.0,21417.307692307695,-11121.339217490662,False,0.0,0.0
gujarat,188709,70270,16063,275042,1437932.0,1709956.0,3147888.0,2046.2957165219866,2046.2957165219866,10645.309095436718,-67.63493401264827,False,0.0,0.0
haryana,85112,8897,1076,95085,676864.0,923400.0,1600264.0,7607.77790266382,7607.77790266382,85817.84386617101,-5629.117120154482,False,0.0,0.0
himachal pradesh,16081,650,178,16909,184098.0,201166.0,385264.0,28322.769230769227,28322.769230769227,113014.60674157304,-26344.10844825989,False,0.0,0.0
