State,Total_Enrolments,Enrol_vs_Avg_%,Total_Bio_Updates,Bio_vs_Avg_%,Total_Demo_Updates,Demo_vs_Avg_%
Uttar Pradesh,1002631,577.0828127848947,9367083,394.0138032924468,6460511,535.5249705270461
Bihar,593753,300.9650123918666,4778968,152.03963256148128,3638842,257.95542408372614
Madhya Pradesh,487892,229.4764351942518,5819736,206.92905310201385,2104635,107.03441203725058
West Bengal,369242,149.35136850777616,2482178,30.908436941237643,2844318,179.79754436135883
Maharashtra,363446,145.43729445371113,9020710,375.7463188378077,3824892,276.2572922744245
Rajasthan,340591,130.00317393858768,3927997,107.15998110525138,2058897,102.53513309446014
Gujarat,275042,85.7375355379826,3147888,66.01754497303524,1358115,33.598719257244404
Assam,225359,52.1863034420351,945150,-50.15340995891078,755097,-25.720581751186405
Karnataka,219576,48.28100836704236,2602079,37.23193690686917,1254762,23.431812602510465
Tamil Nadu,215710,45.6702750521674,4572152,141.13229259857815,1686595,65.91152583225436
Jharkhand,153567,3.7047291684956205,1995928,5.26393140510091,1065263,4.790663877602371
Telangana,128948,-12.920631276125905,1678277,-11.488773639751264,1235594,21.546243080987722
Andhra Pradesh,124272,-16.078362517811197,3610775,90.42990123854831,1642142,61.538653235204556
Odisha,119984,-18.97407499949352,2423047,27.7899068500144,851646,-16.222989319346915
Meghalaya,109239,-26.230238855761375,86574,-95.43414411869306,63941,-93.71007925836365
Chhattisgarh,99773,-32.622686232534896,2559111,34.96583281663426,1421369,39.821059329990625
Haryana,95085,-35.78852114720997,1600264,-15.603128005593186,825843,-18.761248415958523
Delhi,92838,-37.30593391454677,1281944,-32.391115670915646,969666,-4.613279650622259
Punjab,75773,-48.830032212100136,1717845,-9.401983315733046,642172,-36.82909271831682
Kerala,73950,-50.06111520046461,1585769,-16.367584782449335,573781,-43.55676306193441
Jammu And Kashmir,47629,-67.83584659747031,771586,-59.30706128821471,294754,-71.0048435545224
Uttarakhand,36956,-75.04338841579946,740796,-60.93090565933584,337421,-66.80766102244753
Himachal Pradesh,16909,-88.58124945131381,385264,-79.68142975655695,115813,-88.60739445971862
Nagaland,15429,-89.58070245338699,108271,-94.28985859351555,27555,-97.28939544211399
Manipur,13199,-91.0866350173216,275900,-85.44921526494575,233382,-77.04204997537454
Tripura,11008,-92.56623064403942,285324,-84.9521996964675,104583,-89.7120973878645
Mizoram,5774,-96.1007826797496,119160,-93.7155798875351,31556,-96.89581428311918
Arunachal Pradesh,4240,-97.13670221027681,70059,-96.30513436841912,28391,-97.20715753935976
Puducherry,2950,-98.00784705667844,68485,-96.38814609430885,24746,-97.56571873019607
Chandigarh,2620,-98.23069806389746,73552,-96.12091584330298,57395,-94.3540138414129
Goa,2280,-98.4603021319413,66554,-96.48998576565133,27691,-97.27601702731185
Sikkim,2175,-98.5312092706019,22576,-98.80935659232118,15213,-98.50348658540665
Dadra And Nagar Haveli And Daman And Diu,1769,-98.80538354008954,38842,-97.95149843900334,9090,-99.10581036359339
Ladakh,617,-99.58333614710868,5659,-99.70154805793521,4476,-99.55969275989483
Andaman And Nicobar Islands,491,-99.6684247135014,19988,-98.9458460120179,5204,-99.48807889242465
Lakshadweep,199,-99.8656140895861,4745,-99.7497518174417,913,-99.91018755357103
